gene,C421,C422,C423,C42B1,C42B2,C42B3,LNCAP1,LNCAP2,LNCAP3,MR49F1,MR49F2,MR49F3
ENSG00000000003,1266,199,215,638,569,606,229,236,201,378,323,360
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,4622,851,735,673,656,692,780,699,591,859,822,933
ENSG00000000457,857,167,144,168,166,180,183,195,155,204,163,185
ENSG00000000460,1400,307,237,267,253,271,272,251,238,224,196,191
ENSG00000000938,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000000971,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,8022,1361,1294,1450,1246,1394,769,732,625,541,554,517
ENSG00000001084,2663,601,510,907,771,835,271,231,199,413,427,462
ENSG00000001167,2905,652,578,699,628,695,689,636,512,768,714,782
ENSG00000001460,271,47,62,46,55,57,54,71,45,53,48,40
ENSG00000001461,2883,602,512,548,486,593,612,610,455,329,317,329
ENSG00000001497,3752,657,569,727,736,882,851,836,694,1330,1254,1177
ENSG00000001561,2766,585,570,808,700,766,357,382,287,514,426,547
ENSG00000001617,1746,292,282,721,567,760,228,214,147,247,213,181
ENSG00000001626,20,6,1,3,1,0,5,0,0,1,0,0
ENSG00000001629,3350,898,696,896,793,807,694,650,543,694,625,722
ENSG00000001630,307,63,72,86,56,64,66,95,58,77,79,89
ENSG00000001631,2799,679,612,656,601,634,723,622,527,652,591,602
ENSG00000002016,959,157,170,246,209,227,208,191,150,209,128,135
ENSG00000002079,2,0,1,0,0,0,0,0,0,0,0,0
ENSG00000002330,553,74,103,170,164,186,188,180,124,275,250,379
ENSG00000002549,3141,576,474,808,785,905,1022,906,712,1192,1094,1170
ENSG00000002586,6140,825,872,699,571,654,1206,1323,1060,1388,1208,1309
ENSG00000002587,1998,324,312,53,42,66,43,52,24,98,97,95
ENSG00000002726,12,0,0,4,2,5,1,3,2,0,0,0
ENSG00000002745,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,651,98,96,131,123,164,129,132,94,126,145,126
ENSG00000002834,5230,1028,774,1761,1829,1982,905,879,712,1306,1298,1266
ENSG00000002919,1123,201,171,253,247,294,250,212,159,254,227,195
ENSG00000002933,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,4725,947,841,1441,1317,1346,980,978,903,1024,1065,995
ENSG00000003096,147,28,28,44,39,43,51,57,52,24,22,25
ENSG00000003137,14,1,3,57,60,58,0,3,0,2,0,2
ENSG00000003147,2613,499,459,284,250,308,535,503,430,576,543,535
