,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000000001,1265,1868,711,920,1380,1780,2246,1308
ENSMUSG00000000003,0,0,0,0,0,0,0,0
ENSMUSG00000000028,40,52,14,11,77,113,136,108
ENSMUSG00000000031,0,0,0,0,75,14,1,2
ENSMUSG00000000037,0,5,1,0,4,16,6,5
ENSMUSG00000000049,146,131,15927,18426,40,33,20,16
ENSMUSG00000000056,486,1077,352,432,271,340,508,318
ENSMUSG00000000058,0,0,0,0,0,0,0,0
ENSMUSG00000000078,280,611,59,105,2022,2720,2346,1182
ENSMUSG00000000085,143,329,72,76,375,597,95,113
ENSMUSG00000000088,2499,2351,495,602,345,445,1334,1507
ENSMUSG00000000093,479,856,23,21,2057,3228,47,69
ENSMUSG00000000094,1,0,3,1,792,1142,0,1
ENSMUSG00000000103,0,0,0,0,0,0,0,0
ENSMUSG00000000120,13,15,20,27,18,29,33,32
ENSMUSG00000000125,37,0,43,59,23,2,30,17
ENSMUSG00000000126,14,20,5,6,105,98,9,10
ENSMUSG00000000127,55,115,45,42,147,211,100,59
ENSMUSG00000000131,270,605,202,260,643,941,455,353
ENSMUSG00000000134,183,356,148,216,485,667,312,310
ENSMUSG00000000142,39,23,39,55,236,315,316,201
ENSMUSG00000000148,188,290,57,144,319,481,148,124
ENSMUSG00000000149,80,148,36,38,28,52,11,2
ENSMUSG00000000154,10320,11485,1063,1109,163,184,1051,1090
ENSMUSG00000000157,0,0,0,0,0,0,0,0
ENSMUSG00000000159,3,3,1,1,1,0,0,0
ENSMUSG00000000167,51,54,5,8,121,157,14,8
ENSMUSG00000000168,1579,2521,389,401,431,537,562,600
ENSMUSG00000000171,6611,7098,1919,2409,1048,1357,4631,4859
ENSMUSG00000000182,0,0,0,0,0,2,0,0
ENSMUSG00000000183,0,0,0,1,0,0,0,0
ENSMUSG00000000184,84,154,44,59,812,888,911,442
ENSMUSG00000000194,385,741,110,162,642,777,912,790
ENSMUSG00000000197,14,17,0,1,12,11,6,4
ENSMUSG00000000202,0,0,0,0,8,2,1,1
ENSMUSG00000000204,0,5,5,1,73,127,131,97
ENSMUSG00000000214,0,0,0,0,2,0,6,2
ENSMUSG00000000215,2,0,0,0,0,3,2,12
ENSMUSG00000000216,346,796,3,3,1553,2234,2,2
ENSMUSG00000000223,1,0,0,2,8,9,4,6
ENSMUSG00000000244,8,11,2,6,221,283,13,35
ENSMUSG00000000247,0,1,28,20,0,1,0,0
ENSMUSG00000000248,1,17,1,3,212,278,25,17
ENSMUSG00000000253,1400,1513,10,20,179,267,22,32
ENSMUSG00000000263,0,0,0,0,0,0,0,1
ENSMUSG00000000266,158,367,45,61,653,1010,199,159
ENSMUSG00000000275,654,1526,411,598,1311,1767,1789,1149
ENSMUSG00000000276,27,150,6,11,307,451,80,64
ENSMUSG00000000278,352,478,54,49,121,118,48,47
ENSMUSG00000000282,268,418,126,171,434,495,236,233
ENSMUSG00000000290,34,65,66,60,1238,1610,149,197
ENSMUSG00000000295,137,125,10,17,77,169,77,92
ENSMUSG00000000296,265,313,45,58,19,22,23,42
ENSMUSG00000000301,53,32,3624,4075,57,67,37,33
ENSMUSG00000000303,946,2222,253,398,2143,3005,3976,2749
ENSMUSG00000000305,18,28,3,5,60,57,3,6
ENSMUSG00000000308,645,947,28,24,237,224,17904,15673
ENSMUSG00000000317,35,77,10,16,271,559,18,20
ENSMUSG00000000318,5,28,4,2,104,149,10,9
ENSMUSG00000000320,42,72,11,8,74,200,6,23
ENSMUSG00000000325,252,642,70,130,301,540,58,57
ENSMUSG00000000326,6423,6062,8684,12504,1646,2109,1742,1625
ENSMUSG00000000339,238,320,45,32,157,191,121,136
ENSMUSG00000000340,1819,2705,725,1112,320,420,200,186
ENSMUSG00000000346,4110,4949,1133,1483,4120,5925,3332,2884
ENSMUSG00000000355,454,1015,389,433,643,951,520,521
ENSMUSG00000000359,38,86,1,6,87,137,9,9
ENSMUSG00000000365,0,5,2,0,6,5,2,1
ENSMUSG00000000374,511,1002,118,150,472,678,777,597
ENSMUSG00000000378,336,440,186,222,745,1256,257,208
ENSMUSG00000000381,0,0,0,0,0,0,0,0
ENSMUSG00000000384,432,780,201,287,259,426,585,652
ENSMUSG00000000385,1566,3019,47,45,924,1494,2007,1911
ENSMUSG00000000386,5,24,16,17,97,108,148,98
ENSMUSG00000000392,0,8,1,8,38,54,29,22
ENSMUSG00000000394,0,0,1,1,2,0,283,206
ENSMUSG00000000399,3315,3977,797,958,664,838,1543,1489
ENSMUSG00000000402,339,516,5,2,1022,1125,2,2
ENSMUSG00000000409,15,26,5,16,504,712,223,187
ENSMUSG00000000411,1,2,2,0,4,3,1,3
ENSMUSG00000000416,57,295,3,4,61,133,36,47
ENSMUSG00000000420,2063,3142,321,500,1159,1444,1716,1321
ENSMUSG00000000435,0,0,0,0,0,0,0,0
ENSMUSG00000000439,195,281,72,97,183,258,102,87
ENSMUSG00000000440,33,32,44,55,121,132,127,160
ENSMUSG00000000441,397,745,284,333,372,402,317,168
ENSMUSG00000000486,34,62,7,18,459,681,132,185
ENSMUSG00000000489,168,399,12,12,1047,1547,36,69
ENSMUSG00000000530,108,230,26,39,5037,7907,126,177
ENSMUSG00000000531,62,153,14,13,508,641,29,20
ENSMUSG00000000532,282,710,39,70,552,780,396,365
ENSMUSG00000000538,737,1975,253,282,885,1322,1107,869
ENSMUSG00000000544,6,6,7,5,13,9,4512,3355
ENSMUSG00000000552,51,62,85,78,110,153,17,35
ENSMUSG00000000555,39,82,104,192,630,883,77,91
ENSMUSG00000000560,0,0,0,0,0,1,0,2
ENSMUSG00000000561,0,0,0,0,0,0,0,0
ENSMUSG00000000562,0,0,0,0,0,0,0,0
ENSMUSG00000000563,13735,14552,3650,4167,2455,3126,6537,6045
ENSMUSG00000000567,3,11,53,43,22,21,120,160
ENSMUSG00000000568,3927,1007,2291,2870,4367,1946,966,934
ENSMUSG00000000579,80,108,14,14,152,202,122,96
ENSMUSG00000000581,1544,1638,356,476,582,817,570,562
ENSMUSG00000000594,2851,3602,576,641,956,1328,295,359
ENSMUSG00000000600,340,1004,160,248,810,1019,429,323
ENSMUSG00000000605,1167,2035,379,560,1120,1387,654,524
ENSMUSG00000000606,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,13,20,0,0
ENSMUSG00000000627,1,1,1,0,165,255,3,5
